,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,DO,Depth,pH,Date1,Date2,Day.of.year,Vol.filtered.L,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,datetime,decimal_dat,Month_abb,PRO.mL2,SYN.mL2,PEUK.mL2,HBACT.mL2,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro
NROc0565,NROc0565,2019,23,Fall,October,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NR2,13:10:00,27.6,33.64,-,2.118,8.1,10/7/19,2019-10-07,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/7/19,2019.764384,Oct,16597,20655,6670,997627,Run2,Transition,21.5147,-157.8117167,NA,NA
NRSe0062,NRSe0062,2017,2,Summer,September,1.9,0.1,3.43,0.54,NA,NA,NA,0.16,NA,NR2,11:11:00,27.09,35.19,123.3,2.03,8.02,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,1392,44146,12461,641874,Run_Jan2022,Transition,21.5147,-157.8117167,NA,NA
NRSe0272,NRSe0272,2018,12,Summer,September,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:50:00,27.25,33.36,138.9,2.15,8.05,9/11/18,2018-09-11,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/11/18,2018.693151,Sep,8141,47468,8167,986952,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRSe0705,NRSe0705,2020,30,Summer,September,0.7,0.11,2.72,0.58,0.04,0.62,5.64,0.21,0.23,NR2,10:12:00,27.34,35.45,-,2.018,7.86,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/22/20,2020.724044,Sep,14628,66980,11319,949818,Run2,Transition,21.5147,-157.8117167,NA,NA
NT297_R2,NT297_R2,2018,13,Fall,October,0.5,0.05,2.56,0.17,NA,NA,NA,0.07,NA,NTO1,10:15:00,26.8,35.01,-99.9,2.2,7.85,10/11/18,2018-10-11,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/11/18,2018.775342,Oct,23832,40994,4740,591635,Run_Aug2022,Transition,21.526,-157.7979,NA,NA
NT61_R2,NT61_R2,2017,2,Summer,September,0.4,0.06,1.36,0.09,NA,NA,NA,0.07,NA,NTO1,10:57:00,27.02,35.25,131.2,1.76,8.14,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,157294,12619,2324,707909,Run_Jan2022,Offshore,21.526,-157.7979,NA,NA
NTAp0457,NTAp0457,2019,18,Spring,April,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,11:49:00,24.51,36.97,-99.9,1.93,7.88,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,56357,24673,12304,760800,Run_Aug2022,Transition,21.526,-157.7979,NA,NA
NTAp0784,NTAp0784,2021,34,Spring,April,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:26,24.14,34.97,-,2.219,7.91,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,158620,20182,4399,616321,Run2,Offshore,21.526,-157.7979,NA,NA
NTAu0041,NTAu0041,2017,1,Summer,August,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:53:00,27.01,34.9,145,2.015,8.08,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,99637,30398,1182,607721,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTAu0524,NTAu0524,2019,21,Summer,August,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:15:00,27.82,33.29,-52.7,2.186,8.16,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,18370,83473,9966,733159,Run2,Transition,21.526,-157.7979,NA,NA
NTAu0544,NTAu0544,2019,22,Summer,August,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:55:00,27.88,33.05,-75,2.11,8.16,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,25526,109879,10295,1063728,Run2,Transition,21.526,-157.7979,NA,NA
NTAu0684,NTAu0684,2020,29,Summer,August,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:52:00,27.06,33.58,-,1.951,7.97,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,132254,81713,3952,926786,Run2,Offshore,21.526,-157.7979,NA,NA
NTDe0101,NTDe0101,2017,4,Fall,December,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,8:19:00,24.94,35.5,90.2,2.2,8.2,12/8/17,2017-12-08,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/8/17,2017.934247,Dec,218576,7576,1851,528108,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTDe0584,NTDe0584,2019,24,Fall,December,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:47:00,26.71,33.68,-,1.963,8.03,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,252453,3086,1221,569786,Run2,Offshore,21.526,-157.7979,NA,NA
NTDe0744,NTDe0744,2020,32,Fall,December,0.2,0.1,1.15,0.06,NA,NA,NA,0.05,NA,NTO1,9:56,25.61,35.18,-,1.992,7.82,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/23/20,2020.97541,Dec,286304,21837,4294,673939,Run2,Offshore,21.526,-157.7979,NA,NA
NTFe0143,NTFe0143,2018,6,Winter,February,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:33:00,23.18,35.13,86.13,2.19,8.12,2/21/18,2018-02-21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/21/18,2018.139726,Feb,77931,7695,4740,632183,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTFe0393,NTFe0393,2019,16,Winter,February,0.3,0.08,1.52,0.07,NA,NA,NA,0.05,NA,NTO1,10:37:00,23.36,34.97,-99,2.055,7.96,2/25/19,2019-02-25,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/25/19,2019.150685,Feb,118164,6093,3755,562130,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTFe0764,NTFe0764,2021,33,Winter,February,0.2,0.11,1.21,0.06,NA,NA,NA,0.05,NA,NTO1,10:00,24.5,35.05,-,2.09,7.93,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,242789,8496,3178,621324,Run2,Offshore,21.526,-157.7979,NA,NA
NTJa0123,NTJa0123,2018,5,Winter,January,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,14:58:00,24.63,34.36,96.2,1.729,8.2,1/29/18,2018-01-29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/29/18,2018.076712,Jan,70709,7235,2193,494704,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTJa0361,NTJa0361,2019,15,Winter,January,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:46:00,24.46,35.3,-99.9,1.912,8.05,1/11/19,2019-01-11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/11/19,2019.027397,Jan,161128,14785,4254,838337,Run_Aug2022,Transition,21.526,-157.7979,NA,NA
NTJa0604,NTJa0604,2020,25,Winter,January,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:36:00,24.91,33.45,-,1.919,7.83,1/24/20,2020-01-24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/24/20,2020.062842,Jan,275668,3939,1720,600315,Run2,Offshore,21.526,-157.7979,NA,NA
NTJn0203,NTJn0203,2018,9,Spring,June,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,8:10:00,25.12,34.99,81.3,1.9,8.08,6/1/18,2018-06-01,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/1/18,2018.413699,Jun,101790,83144,9822,851914,Run_Jan2022,Transition,21.526,-157.7979,NA,NA
NTJn0223,NTJn0223,2018,10,Spring,June,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,7:57:00,26.34,34,91.6,2.045,8.08,6/19/18,2018-06-19,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/19/18,2018.463014,Jun,72009,128196,10531,1133466,Run_Aug2022,Transition,21.526,-157.7979,NA,NA
NTJn0504,NTJn0504,2019,20,Spring,June,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:23:00,25.65,36.8,-99,1.942,7.76,6/14/19,2019-06-14,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/14/19,2019.449315,Jun,140421,45866,3099,718702,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTJu0834,NTJu0834,2021,36,Summer,June,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:14,25.67,34.83,-,1.999,8,6/21/21,2021-06-21,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/21/21,2021.468493,Jun,180930,20904,2062,707462,Run2,Offshore,21.526,-157.7979,NA,NA
NTJy0251,NTJy0251,2018,11,Summer,July,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:58:00,26.02,34.11,94.5,2.26,8.04,7/23/18,2018-07-23,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/23/18,2018.556164,Jul,193706,37423,3204,788099,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTJy0664,NTJy0664,2020,28,Summer,July,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:47:00,26.74,33.26,-,2.25,7.78,7/21/20,2020-07-21,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/21/20,2020.551913,Jul,162717,66140,2863,777935,Run2,Offshore,21.526,-157.7979,NA,NA
NTMa0163,NTMa0163,2018,7,Winter,March,0.3,0.07,1.49,0.05,NA,NA,NA,0.03,NA,NTO1,11:34:00,24,34.61,88.6,1.965,8.17,3/28/18,2018-03-28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/28/18,2018.235616,Mar,216540,6697,3519,595443,Run_Jan2022,Offshore,21.526,-157.7979,NA,NA
NTMa0425,NTMa0425,2019,17,Winter,March,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,9:10:00,23.69,35.44,-90,1.926,7.91,3/21/19,2019-03-21,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/21/19,2019.216438,Mar,227058,24187,6618,837195,Run_Jan2022,Offshore,21.526,-157.7979,NA,NA
NTMa0624,NTMa0624,2020,26,Winter,March,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:39:00,24.08,33.17,-,2.037,7.8,3/20/20,2020-03-20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/20/20,2020.215847,Mar,162205,10373,7353,703891,Run2,Offshore,21.526,-157.7979,NA,NA
NTMy0183,NTMy0183,2018,8,Spring,May,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,8:07:00,24.63,34.62,109.1,2.04,8.09,5/1/18,2018-05-01,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/1/18,2018.328767,May,135891,13866,2902,564849,Run_Aug2022,Offshore,21.526,-157.7979,NA,NA
NTMy0484,NTMy0484,2019,19,Spring,May,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,8:56:00,25.77,36.13,-99.2,1.8,7.83,5/21/19,2019-05-21,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/21/19,2019.383562,May,72613,136587,9507,1272285,Run_Aug2022,Coastal,21.526,-157.7979,NA,NA
NTMy0644,NTMy0644,2020,27,Spring,May,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:44:00,25.97,33.14,-,2.041,7.63,5/14/20,2020-05-14,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/14/20,2020.36612,May,60980,88804,9441,1000122,Run2,Transition,21.526,-157.7979,NA,NA
NTMy0814,NTMy0814,2021,35,Spring,May,0.5,0.1,1.62,0.14,NA,NA,NA,0.09,NA,NTO1,10:14,25.03,35.04,-,2.016,7.85,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/24/21,2021.391781,May,44487,61479,10925,887565,Run2,Transition,21.526,-157.7979,NA,NA
NTNo0081,NTNo0081,2017,3,Fall,November,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,13:25:00,26.34,34.51,109.7,2.16,8.1,11/1/17,2017-11-01,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/1/17,2017.832877,Nov,96170,25539,2666,601510,Run_Aug2022,Transition,21.526,-157.7979,NA,NA
NTNo0329,NTNo0329,2018,14,Fall,November,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:52:00,26.68,36.07,-99.9,2.1,7.78,11/9/18,2018-11-09,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/9/18,2018.854795,Nov,42111,74819,7682,711704,Run_Aug2022,Coastal,21.526,-157.7979,NA,NA
NTNo0724,NTNo0724,2020,31,Fall,November,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:39,26.81,35.45,-,1.905,8.06,11/16/20,2020-11-16,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/16/20,2020.874317,Nov,153880,8745,3243,578137,Run2,Offshore,21.526,-157.7979,NA,NA
NTOc0564,NTOc0564,2019,23,Fall,October,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,12:59:00,27.7,33.63,-,2.064,8.13,10/7/19,2019-10-07,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/7/19,2019.764384,Oct,175310,10400,1405,720790,Run2,Offshore,21.526,-157.7979,NA,NA
NTSe0271,NTSe0271,2018,12,Summer,September,1,NA,NA,NA,NA,NA,NA,NA,NA,NTO1,10:32:00,27.14,33.3,137,1.7,8.03,9/11/18,2018-09-11,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/11/18,2018.693151,Sep,89539,93912,12290,929912,Run_Aug2022,Transition,21.526,-157.7979,NA,NA
NTSe0704,NTSe0704,2020,30,Summer,September,0.3,0.11,1.52,0.06,NA,NA,NA,0.04,NA,NTO1,10:00:00,27.1,35.38,-,1.95,7.91,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/22/20,2020.724044,Sep,53587,51906,5226,1141567,Run2,Transition,21.526,-157.7979,NA,NA
R2Ap0455,R2Ap0455,2019,18,Spring,April,2.1,0.07,1.45,0.41,NA,NA,NA,0.28,NA,SR2,10:24:00,24.55,36.89,28.1,2.02,7.83,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,26747,19722,5778,1039698,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Ap0802,R2Ap0802,2021,34,Spring,April,0.3,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:36,24.56,34.91,-,2,7.19,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,17280,28389,7905,1168814,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Au0039,R2Au0039,2017,1,Summer,August,0.5,0.13,1.7,0.21,NA,NA,NA,0.12,NA,SR2,10:06:00,26.92,34.89,164.5,1.91,8.07,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,123942,19631,2757,606618,Run_Aug2022,Offshore,21.4691667,-157.77752,NA,NA
R2Au0522,R2Au0522,2019,21,Summer,August,0.4,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:13:00,27.27,33.25,-79,2.1,8.16,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,123535,52550,4346,836709,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Au0542,R2Au0542,2019,22,Summer,August,0.4,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:08:00,27.44,33.01,-69,2,8.17,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,56344,66127,4609,663710,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Au0682,R2Au0682,2020,29,Summer,August,0.5,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:09:00,27.05,33.56,-,1.957,7.87,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,60244,88896,3900,829907,Run2,Transition,21.4691667,-157.77752,NA,NA
